Pop,Rock,Indie,Hip hop,R&B,Jazz,Classical,Metal,Electronic,Country and folk,Other
post-teen pop,latin alternative,britpop,rap,funk carioca,vocal jazz,classical,funk metal,uk dance,cantautor,quiet storm
pop,mexican rock,indiecoustica,conscious hip hop,indie r&b,Blues & Jazz,Classical,rap metal,brostep,country,christian music
dance pop,modern country rock,garage rock,emo rap,funk,Jazz,Opera,nu metal,trap francais,grupera,pagode
australian pop,rock en espanol,folk-pop,hip hop,funk ostentacao,,Classical,alternative metal,chillwave,cumbia,ccm
viral pop,latin rock,dream pop,alternative hip hop,motown,,,glam metal,electronic,new americana,otacore
electropop,new romantic,indie folk,rap conscient,anthem worship,,,metal,electro house,country rock,big room
boy band,brazilian rock,indie anthem-folk,dutch hip hop,worship,,,groove metal,deep tropical house,outlaw country,opm
uk pop,dance rock,chamber pop,dirty south rap,g funk,,,metalcore,trap latino,folk,tropical
pop rock,dance-punk,folk rock,cali rap,blues-rock,,,speed metal,vapor trap,traditional country,mellow gold
girl group,argentine rock,freak folk,french hip hop,classic soul,,,melodic metalcore,deep big room,Country,nova mpb
pop punk,modern rock,Alternative,brazilian hip hop,soul,,,Metal,progressive electro house,Folk,stomp and holler
mexican pop,modern alternative rock,Indie,gangster rap,R&B,,,,reggaeton,Country,world worship
k-pop,christian alternative rock,Alternative,hardcore hip hop,Blues,,,,progressive house,Folk,banda
europop,turkish rock,,east coast hip hop,R&B,,,,reggaeton flow,,regional mexican
latin arena pop,heartland rock,,latin hip hop,,,,,house,,mpb
german pop,soft rock,,west coast rap,,,,,brazilian electronica,,norteno
pop nacional,indie rock,,chillhop,,,,,deep house,,ranchera
swedish pop,glam rock,,Hip Hop / Rap,,,,,lo-fi beats,,singer-songwriter
italian arena pop,rock,,Hip-Hop/Rap,,,,,EDM / Electronic,,hollywood
spanish pop,yacht rock,,,,,,,Dance/Electronic,,show tunes
j-pop,rap rock,,,,,,,,,adult standards
indonesian pop,post-grunge,,,,,,,,,christmas
new wave pop,album rock,,,,,,,,,lounge
shimmer pop,alternative rock,,,,,,,,,scorecore
latin pop,art rock,,,,,,,,,hoerspiel
turkish pop,southern rock,,,,,,,,,soundtrack
dutch pop,classic rock,,,,,,,,,sleep
colombian pop,emo,,,,,,,,,focus
new wave,roots rock,,,,,,,,,Other
sertanejo pop,psychedelic rock,,,,,,,,,Cultural
canadian pop,hard rock,,,,,,,,,Reggae
norwegian pop,punk,,,,,,,,,Latin
baile pop,grunge,,,,,,,,,Religious/Spiritual
italian pop,screamo,,,,,,,,,Undefined
piano rock,Rock,,,,,,,,,World
art pop,Metal,,,,,,,,,Reggae
acoustic pop,Rock,,,,,,,,,Comedy
british invasion,,,,,,,,,,Music
regional mexican pop,,,,,,,,,,Fairs & Festivals
rock-and-roll,,,,,,,,,,Latin
brill building pop,,,,,,,,,,Variety
Pop,,,,,,,,,,Miscellaneous Theatre
Top 40,,,,,,,,,,Children's Music
Pop,,,,,,,,,,Fashion
,,,,,,,,,,Spectacular
,,,,,,,,,,Family
,,,,,,,,,,Circus & Specialty Acts
,,,,,,,,,,Rodeo
,,,,,,,,,,Action/Adventure
,,,,,,,,,,New Age